Heure,Courant,Tension,Cellule_min,Cellule_max,Temp1,Temp4,SOC
0.0,59.1,390,4057,4067,21,20,79.4
0.809,59.1,390,4058,4068,21,20,79.4
1.65,59.1,390,4057,4068,21,20,79.4
2.48,59.0,390,4057,4068,21,20,79.4
3.256,58.9,390,4058,4069,21,20,79.4
4.035,58.9,390,4058,4068,21,20,79.4
4.879,59.0,390,4058,4069,21,20,79.5
5.658,59.1,390,4058,4069,21,20,79.5
6.442,59.0,390,4058,4069,21,20,79.5
7.234,59.0,390,4058,4068,21,20,79.5
8.076,59.1,390,4059,4070,21,20,79.5
8.871,59.2,390,4059,4069,21,20,79.5
9.652,58.9,390,4058,4069,21,20,79.5
10.436,59.1,390,4059,4069,21,20,79.6
11.269,59.0,390,4060,4070,21,20,79.6
12.05,59.1,390,4059,4069,21,20,79.6
12.832,59.2,390,4059,4070,21,20,79.6
13.614,59.1,390,4060,4069,21,20,79.6
14.452,59.2,390,4060,4070,21,20,79.6
15.24,59.1,390,4060,4070,21,20,79.6
16.008,58.1,390,4061,4070,21,20,79.7
16.851,59.1,390,4060,4071,21,20,79.7
17.658,58.1,390,4060,4070,21,20,79.7
18.488,58.9,390,4061,4070,21,20,79.7
19.259,58.0,390,4060,4071,21,20,79.7
20.088,58.1,390,4061,4072,21,20,79.7
20.882,58.2,390,4061,4071,21,20,79.7
21.669,58.2,390,4061,4071,21,20,79.7
22.462,58.2,390,4062,4071,21,20,79.8
23.291,58.1,390,4061,4072,21,20,79.8
24.069,58.0,390,4061,4072,21,20,79.8
24.833,58.3,390,4061,4071,21,20,79.8
25.636,58.1,390,4062,4072,21,20,79.8
26.461,58.1,390,4062,4072,21,20,79.8
27.253,58.2,390,4062,4073,21,20,79.8
28.031,58.1,390,4062,4072,21,20,79.9
28.854,58.3,390,4062,4072,21,20,79.9
29.679,58.1,390,4063,4073,21,20,79.9
30.46,58.2,390,4063,4073,21,20,79.9
31.243,58.0,390,4063,4073,21,20,79.9
32.08,58.1,390,4063,4073,21,20,79.9
32.855,58.2,390,4062,4073,21,20,79.9
33.679,58.0,390,4063,4073,21,20,79.9
34.487,58.0,390,4064,4073,21,20,80.0
35.321,58.0,390,4064,4073,21,20,80.0
36.109,58.0,390,4063,4074,21,20,80.0
36.904,58.1,391,4064,4074,21,20,80.0
37.679,58.0,391,4064,4074,21,20,80.0
38.48,58.1,391,4064,4074,21,20,80.0
39.281,58.1,391,4064,4074,21,20,80.0
40.063,58.2,391,4065,4074,21,20,80.1
40.918,58.2,391,4065,4074,21,20,80.1
41.713,58.2,391,4063,4074,21,20,80.1
42.491,58.0,391,4065,4075,21,20,80.1
43.274,58.1,391,4065,4075,21,20,80.1
44.119,58.2,391,4066,4075,21,20,80.1
44.907,58.0,391,4065,4075,21,20,80.1
45.679,58.0,391,4065,4075,21,20,80.2
46.457,58.1,391,4065,4075,21,20,80.2
47.318,58.2,391,4065,4075,21,20,80.2
48.1,57.0,391,4066,4076,21,20,80.2
48.88,58.1,391,4065,4075,21,20,80.2
49.671,56.9,391,4066,4076,21,20,80.2
50.466,57.1,391,4066,4076,21,20,80.2
51.26,57.1,391,4066,4075,21,20,80.2
52.079,57.2,391,4066,4076,21,20,80.3
52.921,57.1,391,4066,4076,21,20,80.3
53.734,57.2,391,4065,4075,21,20,80.3
54.524,57.0,391,4065,4076,21,20,80.3
55.299,56.9,391,4066,4076,21,20,80.3
56.129,57.1,391,4067,4076,21,20,80.3
56.93,57.0,391,4067,4077,21,20,80.3
57.704,57.2,391,4067,4077,21,20,80.4
58.476,57.1,391,4067,4076,21,20,80.4
59.316,57.2,391,4067,4077,21,20,80.4
60.134,57.0,391,4068,4077,21,20,80.4
60.914,57.1,391,4067,4077,21,20,80.4
61.699,57.1,391,4068,4077,21,20,80.4
62.531,56.9,391,4068,4078,21,20,80.4
63.342,57.0,391,4067,4077,21,20,80.5
64.143,56.9,391,4069,4078,21,20,80.5
64.965,57.1,391,4068,4078,21,20,80.5
65.78,57.2,391,4068,4078,21,20,80.5
66.556,57.1,391,4068,4079,21,20,80.5
67.338,57.0,391,4069,4080,21,20,80.5
68.163,56.9,391,4069,4079,21,20,80.5
68.976,57.0,391,4069,4079,21,20,80.5
69.777,57.2,391,4069,4080,21,20,80.6
70.575,57.2,391,4069,4078,21,20,80.6
71.422,57.2,391,4070,4078,21,20,80.6
72.204,57.1,391,4069,4080,21,20,80.6
73.002,57.2,391,4070,4080,21,20,80.6
73.828,57.0,391,4070,4080,21,20,80.6
74.617,57.0,391,4069,4080,21,20,80.6
75.41,57.0,391,4070,4081,21,20,80.7
76.179,57.2,391,4070,4080,21,20,80.7
77.013,57.0,391,4070,4081,21,20,80.7
77.823,57.1,391,4070,4080,21,20,80.7
78.669,57.1,391,4070,4081,21,20,80.7
